Subject	StimRank	StimValue	StimName	StimNum	ValueGroup	Contingency	Go	Run	TrialInRun	Trial
BM_148	24	0.6352788	1115.jpg	17	2	0	0	5	20	340
BM_148	69	0.2784736	2043.jpg	49	8	0	0	5	21	341
BM_148	32	0.5589448	2008.jpg	42	3	1	1	5	22	342
BM_148	77	0.1624134	1080.jpg	15	0	0	0	5	23	343
BM_148	42	0.4440877	2010.jpg	43	5	0	0	5	24	344
BM_148	28	0.5836822	1019.jpg	5	3	1	1	5	25	345
BM_148	35	0.5235273	2063.jpg	54	4	0	0	5	26	346
BM_148	19	0.6657834	2212.jpg	73	2	0	0	5	27	347
BM_148	22	0.6487454	2053.jpg	51	2	1	1	5	28	348
BM_148	62	0.3274475	1150.jpg	23	7	0	0	5	29	349
BM_148	41	0.4492809	1207.jpg	31	5	1	1	5	30	350
BM_148	1	0.9253113	2006.jpg	41	0	0	0	5	31	351
BM_148	39	0.5023858	1028.jpg	7	4	0	0	5	32	352
BM_148	34	0.5274969	1246.jpg	37	4	0	0	5	33	353
BM_148	70	0.2775654	1191.jpg	27	8	1	1	5	34	354
BM_148	58	0.3563776	1007.jpg	1	7	0	0	5	35	355
BM_148	61	0.3349471	2181.jpg	69	7	0.5	1	5	36	356
BM_148	74	0.231611	1226.jpg	35	0	0	0	5	37	357
BM_148	78	0.1457312	2094.jpg	56	0	0	0	5	38	358
BM_148	63	0.3251431	2218.jpg	75	7	0	0	5	39	359
BM_148	68	0.2848033	2041.jpg	48	8	0	0	5	40	360
BM_148	13	0.7545014	1144.jpg	20	1	0.5	1	5	41	361
BM_148	44	0.4310441	1183.jpg	26	5	1	1	5	42	362
BM_148	23	0.6439032	1254.jpg	38	2	1	1	5	43	363
BM_148	26	0.6116447	2154.jpg	66	3	0	0	5	44	364
BM_148	54	0.3698437	2221.jpg	76	6	0	0	5	45	365
BM_148	66	0.312413	2024.jpg	46	8	1	1	5	46	366
BM_148	30	0.5692954	1262.jpg	40	3	0	0	5	47	367
BM_148	2	0.9076832	1031.jpg	8	0	0	0	5	48	368
BM_148	29	0.5758166	2125.jpg	62	3	1	1	5	49	369
BM_148	48	0.4027942	2128.jpg	63	5	1	1	5	50	370
BM_148	67	0.2853569	1013.jpg	3	8	1	1	5	51	371
BM_148	38	0.520194	1210.jpg	32	4	0	0	5	52	372
BM_148	47	0.4182801	2118.jpg	60	5	0	0	5	53	373
BM_148	53	0.3783371	2110.jpg	57	6	0.5	1	5	54	374
BM_148	56	0.3594109	2039.jpg	47	6	0.5	1	5	55	375
BM_148	27	0.5854799	1146.jpg	22	3	0	0	5	56	376
BM_148	71	0.2569969	2111.jpg	58	8	1	1	5	57	377
